"racquet_id","cleaned_description"
"RCPK-295KI","Ki 5 2022: controllable power and unparalleled comfort for intermediate players; also tempts advanced players wanting raw speed without sacrificing stability. Modernized trapezoidal throat for more stable through impact and greater power transfer; Kinetic Technology with movable mass for superior arm protection; Comfort Cap adds Kinetic technology to butt cap for residual vibration; Spiral Tech Carbon for cleaner ball feedback."
"RCPK-305KI","Ki 10: dangerous combination of spin, precision, and power that holds up well against higher levels of pace. Kinetic Technology with movable mass in the head to reduce shock reaching the arm; Comfort Cap for residual vibration reduction; firm Spiral Tech Carbon for a more stable and powerful feel when striking. For intermediate and advanced players wanting to hit heavy spin-loaded shots."
"RCPK-300KIB","Ki 15 (300g): extended 27.5"" length for extra pop on serves and groundstrokes; heavy enough for intermediate players and advanced doubles players wanting serve power and stable volleying. Kinetic Technology with dynamic mass in the head for arm-friendly comfort; Comfort Cap for residual vibration. For players craving comfort and power."
"RCPK-260KIB","Ki 15 (260g): lightweight with forgiving 105in² head for rising beginners, early intermediates, and doubles players; 27.5"" length for extra power on groundies, serves, and overheads. Kinetic Technology for reduced shock; Comfort Cap for residual vibration reduction; Spiral Tech Carbon for more stable and powerful response. Comfortable and powerful; enough spin to bring the ball down."
"RCPK-P7G","Ki Pro 7G: blends a control-oriented response with extra power and spin from its 27.5"" length; movable-mass Kinetic System for a solid yet soft feel and arm protection. Popular with 4.0–5.5 level players with medium to fast swing speeds; particularly suitable for those with arm or shoulder problems."
"RCPK-P5G2","Kinetic Pro 5G: best control/maneuverability ratio in the ProKennex line; head-light balance with standard 27"" length and 100in² head for a player's racquet with a little more power than most control frames. Easy spin generation; solid Kinetic Technology feel. Most popular Kinetic racquet for 4.0–6.0 all-court players with fast swings or hard hitters with joint/elbow problems."
"RCSOLINCO-BKOCAH","Blackout 300 v2: sub-320 swingweight with powerful beam and spin-friendly pattern for easy pace and spin loading. Arch-2 construction for boosted stability and power; Power Flex Zone for increased energy return; 40T Carbon Fiber at 3/9 for larger sweetspot and stable off-center feel; Liquid Crystal Technology for vibration reduction; foam in head for a solid and stable feel at impact. Weight and balance modifiable with sold-separately modules. For intermediate and advanced players controlling action with pace and spin."
"RCSOLINCO-BKOCAX","Blackout 300 XTD v2: extended 27.5"" length for dangerous power and spin from the baseline and huge serve capability. Arch-2 construction for stability and power; Power Flex Zone for energy return; 40T Carbon Fiber at 3/9 for larger sweetspot and stable off-center feel; Liquid Crystal Technology for vibration reduction; foam for a solid, stable feel. Weight and balance modifiable. For aggressive players wanting to turn up the heat."
"RCSOLINCO-BKOCAL","Blackout 285 v2: sub-315 swingweight for ease of use and mastering pace and spin mechanics. Arch-2 construction for stability and power; Power Flex Zone for energy return; 40T Carbon Fiber at 3/9 for larger sweetspot and stable off-center feel; Liquid Crystal Technology for vibration reduction; foam for solid, stable feel. Weight and balance modifiable. For intermediate players wanting to play aggressive tennis."
"RCSOLINCO-BLKO30","Blackout 300 (1st gen): fast, explosive, and powerful with spin-friendly targeting for sharp angles and confident targeting; solid at net with enough pop to finish. 40T Carbon Fiber at 3/9 for larger sweetspot and solid off-center feel; Liquid Crystal Technology for vibration reduction. Weight and balance modifiable. For intermediate and advanced ball strikers who like controlling action with pace and spin."
"RCSOLINCO-BLKO28","Blackout 285 (1st gen): under 11oz for easier swinging than the Blackout 300; near even balance for above-average stability and comfort for its weight class with enough pop to close out points. Thick and powerful tapered beam; 40T Carbon Fiber at 3/9 for larger sweetspot and stable feel; Liquid Crystal Technology for vibration reduction. Weight and balance modifiable. For intermediate players wanting a user-friendly tool for pace and spin."
"RCSOLINCO-BLKOXT",""
"RCSOLINCO-SBLK28",""
"RCSOLINCO-SBDWO5","Whiteout 305 v2 Brain Dead Edition: same specs as standard Whiteout 305 v2 with an artistic cosmetic by Brain Dead. 98in² head and 21.7mm box beam for impressive control from all areas of the court; near-330 swingweight for stability against big hitters while remaining fast enough for aggressive play. Arch-2 construction for stability, comfort, and power; 40T Carbon Fiber at 3/9 for stable off-center feel; Liquid Crystal Technology and foam for a plush and solid feel. For intermediate and advanced players wanting controllable power and great feel."
"RCSOLINCO-WTOCAH","Whiteout 305 v2: 98in² head and 21.7mm box beam for impressive control from all areas of the court; 328 swingweight for stability against big hitters while remaining fast enough for aggressive play; enough mass-based pop to keep opponent in check. Arch-2 construction for stability, comfort, and power; 40T Carbon Fiber at 3/9 for stable off-center feel; Liquid Crystal Technology and foam for a plush and solid feel. For intermediate and advanced players wanting controllable power and great feel."
"RCSOLINCO-SWO28","Whiteout 305 18x20 v2 2025: 98in² head and 21.7mm beam with dense 18x20 for a more predictable, laser-like trajectory ideal for driving the ball through the court; 325+ swingweight for stability without feeling sluggish. Arch-2 construction for stability, comfort, and power; 40T Carbon Fiber at 3/9 for stable off-center feel; Liquid Crystal Technology and foam for plush and solid feel. Weight and balance modifiable. For intermediate and advanced players wanting outstanding control with a comfortably crisp feel."
"RCSOLINCO-WTOCAX","Whiteout 305 XTD v2 2025: 98in² head and box beam combined with extended length for a dangerous combination of power and precision; lower swingweight than previous gen for a welcome boost in speed. Arch-2 construction for stability and power; 40T Carbon Fiber at 3/9 for larger sweetspot and stable off-center feel; Liquid Crystal Technology for vibration reduction; foam for solid feel at impact. For experienced players wanting a precise, powerful weapon."
"RCSOLINCO-SWO2X8","Whiteout 305 18x20 XTD v2 2025: combines surgical 18x20 control with the powerful momentum of an extended-length racquet for a dangerous combination of power and precision; swingweight in the low 330s for plow-through while quick enough for all-court play. Arch-2 construction for stability, comfort, and power; 40T Carbon Fiber at 3/9 for stable off-center feel; Liquid Crystal Technology and foam for plush and solid feel. Weight and balance modifiable. For experienced players wanting power and precision."
"RCSOLINCO-WTOCAL","Whiteout 290 v2 2025: 21.7mm box beam with 98in² head and 16x19 for spin-friendly targeting; sub-315 swingweight for easy acceleration and quick net handling at 10.7oz. Arch-2 construction for stability and power; 40T Carbon Fiber at 3/9 for larger sweetspot and stable off-center feel; Liquid Crystal Technology for vibration reduction. Weight and balance modifiable. For rising intermediate players wanting a speedy racquet that can hit every shot in the book."
"RCSOLINCO-WHTO30","Whiteout 305 (1st gen): 21.7mm straight beam and 98in² head for raw precision and excellent ball feedback; near-330 swingweight for enough mass to redirect pace while remaining fast enough for quick exchanges. 40T Carbon Fiber at 3/9 for larger sweetspot and greater torsional stability; Liquid Crystal Technology for vibration reduction; Foam Technology in head for wonderfully solid impact feel. Weight and balance modifiable. For experienced players wanting controllable power and great feel."
"RCSOLINCO-WHO18X","Whiteout 305 18x20 (1st gen): 98in² head with 21.7mm straight beam and 18x20 for an extremely predictable, laser-like trajectory allowing confident line-targeting. 40T Carbon Fiber at 3/9 for larger sweetspot and torsional stability; Liquid Crystal Technology for vibration reduction; Foam Technology in head for solid feel. Weight and balance modifiable. For intermediate and advanced players wanting surgical targeting and great feel."
"RCSOLINCO-WHTO29","Whiteout 290 (1st gen): 21.7mm box beam with 98in² head and 16x19 for great control, feel, and enough pop for finishing points; sub-315 swingweight for easy intermediate maneuverability. 40T Carbon Fiber at 3/9 for larger sweetspot and stable off-center feel; Liquid Crystal Technology for vibration reduction; Foam Technology for a more solid, dampened feel. Weight and balance modifiable. For intermediate players wanting a speedy, well-rounded racquet."
"RCSOLINCO-WO18XT","Whiteout 305 18x20 XTD (1st gen): combines 98in² head and 18x20 precision with extended 27.5"" length for extra momentum and serve power; 330+ swingweight for stability against heavy hitters. 40T Carbon Fiber at 3/9 for torsional stability; Liquid Crystal Technology for vibration reduction; Foam Technology for wonderfully solid impact feel. Weight and balance modifiable. For experienced players wanting a surgical player's racquet with high power potential."
"RCSOLINCO-SWHT28","Whiteout 305 XTD+ (28""): defined by its 28"" length for dangerous power on serves and groundstrokes; 98in² head and flexible 21.7mm beam for confident precision; 340+ swingweight challenging to swing but offers massive power. 40T Carbon Fiber at 3/9 for larger sweetspot and stable off-center feel; Liquid Crystal Technology for vibration reduction; Foam Technology for solid impact feel. Extra handle length provides spacing for two-handed backhands."
"RCSOLINCO-WHO30X","Whiteout 305 XTD (1st gen): 98in² head and 21.7mm beam with extended 27.5"" length for extra power and spin; 330+ swingweight for redirecting heavy hitters or driving the ball through the court. 40T Carbon Fiber at 3/9 for torsional stability; Liquid Crystal Technology for vibration reduction; Foam Technology for solid, dampened feel. Full swings deliver easy targeting and knock-out power; dangerous on serves. For experienced players wanting a surgical player's racquet with high power potential."
"RCLACTF-TRLA23","Lacoste L23: significantly retooled specs and geometry for 2023 with wider string spacing for easier spin and net clearance; notable boost in stability, power, and comfort. Unique string pattern with denser center spacing for control and wider edges for forgiveness; updated dampening system. User-friendly combination of spin, power, and precision for aggressive singles and doubles."
"RCLACTF-TRL23L","Lacoste L23L: overhauled specs and geometry for 2023 with wider string spacing for easier net clearance; notable boost in stability, power, and comfort. 10.2oz for impressive acceleration and easy spin or quick net reactions; more mass in the upper hoop for stability and easier power. Updated Lacoste dampening system. Comfortable user-friendly performance for aggressive tennis."
