,racquet_id,racquet_description
351,RCVOLKL-VKV8PR,"Introducing the 2023 version of the V8 Pro! With this racquet Volkl keeps the same specs as the previous generation but adds a classic Volkl cosmetic as a nod to 50 years in the tennis business (and 100 years as a brand).  On the court this speedy modern player's racquet delivers pinpoint accuracy thanks to its 18x20 string pattern. At 11.2 ounces strung this racquet is weighted for the intermediate player, but It should also work well for the advanced player who wants speed and controllable power. Like the other V-Feel models, this racquet features V-Feel Technology which is anchored by a substance called VCell a light and strong cellulose material added to the layup for improved feel and responsiveness. Other V-Feel technologies include updates to both the butt cap and VSENSOR handle, which has been reinforced with a material technology called REVA for greater shock absorption. From the baseline the 2023 V8 Pro feels fast, crisp and precise. The tight 18x20 string pattern delivers laser-like targeting on full swings. The fast feel will not only enable you to generate the required stroke speed for effective spin, but you'll also find it easy to scramble on defense or crank winners on the run. At net, the 2023 version of the V8 Pro moves into position with remarkable ease and the stringbed provides ample control for accurate volleying. The speed and precision continue on service returns where this stick comes around fast to deliver very easy placement. Although this racquet plays well in stock form, advanced players looking for more stability will find plenty of room for weight customization. All in all, this is a great option for the player who wants a light and speedy player's racquet with exceptional control."
352,RCVOLKL-C10EVO,"Volkl delivers a more explosive version of the iconic C10  Pro Introducing the Volkl C10 Evo! With this racquet, Volkl delivers a faster, more explosive version of its most iconic player's racquet. Like the original C10 Pro, this stick packs a 20mm beam, buttery feedback and a surgical 98 square inch head. It also has a relatively open 16x19 string pattern for easier access to spin. Technologies include Super Grommets which increases the power and vibration dampening of the string bed. Comfort is further enhanced by Volkl's time-tested Twin Absorber Handle System along with a V-Tex butt cap, which uses a silicone polymer to soften the feel of impact. On the court this stick combines impressive speed with pinpoint accuracy and outstanding ball feedback. Although lighter than the standard C10 Pro, this racquet offers impressive stability against pace. Intermediate and advanced players looking to combine modern speed with classic control and feel will love this one. Specs based on one sample"
353,RCVOLKL-C10P,"Updated with an awesome retro cosmetic for 2022, this racquet's surgical control and sublime feel never gets old Volkl updates the cosmetic of their iconic C10 Pro ! Like previous versions, this stick packs a thin 20mm beam, 12+ ounce weight and buttery flex. It also delivers surgical control on full swings.  Advanced players will find enough mass for absorbing and redirecting the pace of big hitters, and there is impressive power available to those who can swing this stick fast. There's also enough touch for hitting droppers on a dime. At net, this stick feels solid against pace, and the touch is spot on. Volkl also incorporates its Twin Absorber Handle System and Soft Butt Cap to absorb unwanted shock and vibration, while still allowing exceptional ball feedback. All in all, this is an obvious choice for experienced players in search of control and feel.  Although it has a different cosmetic, this racquet features the same specs and playability as the C10 Pro 25th Anniversary Edition"
354,RCVOLKL-C10PAN,"This iconic player's racquet turns 25! Limited Edition - Only 1,000 Made Introducing the C10 Pro 25th Anniversary ! With this racquet, Volkl celebrates one of the most iconic player's racquets of all time. In addition to its thin 20mm beam, 12+ ounce weight and buttery flex, the C10 Pro delivers mindless accuracy on full swings.  Advanced players will find enough mass for absorbing and redirecting the pace of big hitters, and there is impressive power available to those who can swing this stick fast. There's also enough touch for hitting droppers or tricky angles. At net, the C10 Pro feels solid against pace, and the touch is spot on. Volkl also incorporates its Twin Absorber Handle System and Soft Butt Cap to absorb unwanted shock and vibration, while still allowing exceptional ball feedback. All in all, this is an obvious choice for experienced players in search of control and feel.  The retro cosmetic makes this a great collectible. This special 25th Anniversary Package includes one set of V.Icon 1.27 LTD (Natural Gut)  and one Black Leather Grip."
355,RCVOLKL-MPB10,"Volkl brings back the Power Bridge 10 Mid , a racquet with a classic combination of control, feel and plow-through. The cosmetic is slighly changed from the original cosmetic to a brighter, neon yellow. Compared to the light, stiff racquets of today, the Power Bridge 10 Mid offers a buttery flex at impact. The open string bed gives it plenty of bite for generating spin. Factor in this racquet's 12+ ounce weight, and you have the ingredients to hit a heavy ball. From the baseline this racquet's 93i n² head delivers surgical control, and the ultra head light balance makes it maneuverable enough for whipping up spin or flicking winners on the run. At net the Power Bridge 10 Mid offers rock solid stability with exceptional feel and control. The soft flex provides a high level of feel on touch shots while the mass helps punch volleys with depth. On serve our testers found an easy swing to produce ample pace and spin. All in all this impressive racquet is best suited for the player who wants a surgical midsize frame without impressive maneuverability for the breed."
356,RCVOLKL-V1EVO,"Volkl adds some extra stability and flexibility to the iconic V1 formula With the V1 Evo , Volkl adds some extra stability and flexibility to the V1 formula. In addition to giving experienced players the tools to hit a heavy ball, this stick has impressive pocketing and ball feedback. Technologies include Volkl's Vario Beam along with Big Grommets (for extra comfort and power) and a Dual Dampening Grip (for a smoother feel at impact). Like the V1 Classic, this racquet has 102 square inch head, making it slightly more forgiving and torsionally stable than a standard 100 square inch frame. It also has an open 16x19 string pattern for easy access to spin. In addition to feeling stable against big hitters, the V1 Evo delivers plenty of put-away power to those who can get it moving fast. Ultimately, by creating a more stable and flexible version of the iconic V1 Classic, Volkl has delivered a very seductive option to experienced players."
357,RCVOLKL-V1CLC,"Intermediate players looking for a speedy racquet with surgical targeting will love this timeless classic Updated with an awesome new cosmetic, the V1 Classic delivers spin-friendly targeting and crisp comfort to intermediate players. In addition to being ideal for intermediate players, the V1 Classic will also appeal to beginners looking to reach the next level. Labeled a ""virtual extension of the arm"" by TENNIS Magazine in 1995, the Classic V1 continues to be one of the best options in its class. With its 102 square inch head, this stick is a tad more forgiving and comfortable than its midplus competitors, but it still feels precise on full swings, and there's more than enough spin-potential to bring the ball down hard.  Ultimately, the V1 Classic is ideal for intermediate players who want crisp and speedy racquet with surgical targeting on full cuts."
360,RCVOLKL-VCE100,"Introducing the V-Cell 10 300g !  Like the V-Feel model it replaces, this racquet is perfect for the intermediate player who values speed, spin and precision. It should also work for the advanced player who wants an ultra fast option or a platform for customization. For this update, Volk thickens the beam at the midsection of the head, resulting in a slightly more solid and lively feel at impact. It also features V-Cell material (a cellulose based carbon) in the shaft and head for a more comfortable, stable and responsive hitting experience. Like the previous generation, this racquet's butt cap and innovative REVA based handle system have been meticulously designed to deliver a smoother, more arm-friendly feel at impact. From the baseline, V-Cell 10 300g combines lightning speed with impressive accuracy on full swings. The speedy acceleration makes it easy for players to swing big and load the ball with spin. This stick is also for scrambling on defense or cranking winners on the run. At net, this stick plays great on reaction volleys. The speed is also an asset on service returns where it comes around fast to deliver easy targeting on full swings. With some incremental tweaks to the feel, the V-Cell 10 300g is an obvious choice for those who want the precision of a player's racquet minus the heavy weight."
361,RCVOLKL-VCE102,"Volkl adds another chapter to the V-Cell 10 320g ! As with the previous generation, this racquet is perfect for intermediate and advanced players who want a crisp, speedy and spin-friendly weapon. For this update, Volk thickens the beam at the midsection of the head, resulting in a slightly more solid and lively feel at impact. It also features V-Cell material (a cellulose based carbon) in the shaft and head for a more comfortable, stable and responsive hitting experience. Like the previous generation, this racquet's butt cap and innovative REVA based handle system have been meticulously designed to soften the feel of ball impact. From the baseline, the V-Cell 320g is fast, crisp and very spin-friendly. It also does a better redirecting pace than the 300 gram version while still delivering easy acceleration and impressive all-court speed. Although it lacks the mass-based pop of a traditional player's racquet, this stick's quick handling will bail you out on fast net exchanges.  It also shines on serve when you'll find enough precision to swing for power. Ultimately, with this update, Volkl keeps a good thing going. Intermediate and advanced players looking for a fast and spin-friendly weapon should give this one a serious look."
365,RCPK-PKBAPR,"ProKennex adds another chapter to one of the game's most surgical and arm-friendly racquets With roots that stretch back to the '80s, the Black Ace Pro is defined by its outstanding control and sublime feel. Like the 2022 model it replaces, this racquet features the thinnest beam and most surgical head size in the Black Ace franchise. It also packs one of the softest, most flexible beams this side of the wood era, giving it the kind of buttery feedback that is rare for a modern racquet. For 2025, the layup gets updated with a groundbreaking Aurealian carbon weave, resulting in a more consistent response while also enabling tighter manufacturing tolerances. Complementing this innovation is FlexLogic, allowing the racquet to bend in ways that enhance dwell time, pocketing, and feel. This racquet also benefits from ProKennex's legendary Kinetic System, which places movable mass at 3 and 9 o'clock in the head to boost stability and comfort. Additionally, it features a Kinetic Comfort Cap, a handle technology that minimizes harsh impact vibrations. These time-tested Kinetic technologies offer one of the most arm-friendly hitting experiences available. Ultimately, the Black Ace Pro is an outstanding option for experienced players looking for the ultimate in control and feel. The fact that it allows you to play with less arm fatigue is a nice bonus ."
366,RCPK-PKBAH,"This ultra-plush player's racquet combines a buttery feel with impressive plow-through and accuracy ProKennex adds another chapter to the heaviest member of the Black Ace family. It's called the Black Ace 315 , and it combines spin-friendly precision with a buttery, plush feel at impact. Boasting a 330+ swingweight, the 315 has enough stability to redirect the pace of a big-hitting opponent. In the hands of someone who can harness its mass, the Black Ace packs ample power, but it specializes in control and touch. For 2025, the layup gets updated with a groundbreaking Aurealian carbon weave, resulting in a more consistent response while also enabling tighter manufacturing tolerances. Complementing this innovation is a technology called FlexLogic, which allows the racquet to bend in ways that enhance dwell time, pocketing, and feel. This racquet also benefits from ProKennex's legendary Kinetic System, which places movable mass at 3 & 9 o'clock in the head to boost stability and comfort. Additionally, this racquet features a Kinetic Comfort Cap, an innovative handle technology that reduces harsh vibrations. These time-tested Kinetic technologies offer one of the most arm-friendly hitting experiences available. Advanced players looking for an arm-friendly racquet with impressive accuracy and plow-through will love this one."
367,RCPK-PKBAC,"Arm-friendly comfort meets spin, pocketing, and feel With roots that go back 40 years, the Black Ace 300 continues the legacy of one of the game's most iconic racquet families. Like the previous generation, this update is defined by its spin-friendly precision and best-in-class feel. It also sports a 324 swingweight, giving it decent stability while remaining fast enough for aggressive all-court play. The outstanding feel comes partly from its 21mm box beam and 55 RA, delivering the kind of buttery feedback sorely lacking in today's modern frames. For 2025, the layup gets updated with a groundbreaking Aurealian carbon weave, resulting in a more consistent response while also enabling tighter manufacturing tolerances. Complementing this innovation is FlexLogic, which allows the racquet to bend in ways that enhance dwell time, pocketing, and feel. This racquet also benefits from ProKennex's legendary Kinetic System, which places movable mass at 3 and 9 o'clock in the head to create an undeniable boost in stability and comfort. Additional features include a Kinetic Comfort Cap, an innovative handle technology that minimizes harsh impact vibrations. These time-tested Kinetic technologies offer one of the most arm-friendly hitting experiences available. Recommended for intermediate and advanced players looking for a maneuverable player's racquet with impressive pocketing, spin, and feel."
368,RCPK-PKBAL,"ProKennex serves up the perfect entry point into the ultra arm-friendly world of Kinetic technology ProKennex adds another chapter to the lightest member of the Black Ace family. Featuring the legendary engineering of one of the game's most experienced racquet manufacturers, the Black Ace 285 is ideal for the intermediate player who wants spin-friendly targeting and outstanding feel. As with the previous generation, this racquet packs an ultra-flexible RA stiffness, making it one of the most arm-friendly members of its class. For 2025, the layup gets updated with a groundbreaking Aurealian carbon weave, resulting in a more consistent response while also enabling tighter manufacturing tolerances. Complementing this innovation is FlexLogic, allowing the racquet to bend in ways that enhance dwell time, pocketing, and feel. This racquet also benefits from ProKennex's legendary Kinetic System, which places movable mass at 3 and 9 o'clock in the head to boost stability and comfort. This racquet also features a Kinetic Comfort Cap, a handle technology that minimizes harsh impact vibrations. These time-tested Kinetic technologies offer one of the most arm-friendly hitting experiences available. Ultimately, with its outstanding control and feel, the Black Ace 285 is an obvious choice for the improving intermediate player who wants to hit a more accurate ball."
369,RCPK-PKBA5,"Introducing the most forgiving and powerful member of the ProKennex family With the Black Ace 105 , ProKennex updates the most forgiving and powerful member of the Black Ace family. Like the previous generation, this racquet is built for the player who wants the control and feel of the Black Ace series, but with the advantages of a larger head size. In addition to delivering a greater margin of error (making it easier to achieve clean contact with the ball), this racquet's 105 square inch head translates into easier power and depth. It also features a 320+ swingweight, giving it enough stability and plow-through for more advanced ball strikers. For 2025, the layup gets updated with a groundbreaking Aurealian carbon weave, resulting in a more consistent response while also enabling tighter manufacturing tolerances. Complementing this innovation is FlexLogic, allowing the racquet to bend in ways that enhance dwell time, pocketing, and feel. This racquet also benefits from ProKennex's legendary Kinetic System, which places moveable mass at 3 & 9 o'clock in the head to create an undeniable boost in stability and comfort. This racquet also features a Kinetic Comfort Cap, a handle technology that minimizes harsh impact vibrations. Taken together, these time-tested Kinetic technologies offer one of the most arm-friendly hitting experiences available. Recommended to intermediate players."
371,RCPK-295KI,"The Ki 5 continues its reign as one of the most arm-friendly player’s racquets available Updated with a new beam design, the ProKennex Ki 5 continues its reign as one of the most arm-friendly player’s racquets available. As with previous generations, the Ki 5  delivers controllable power and unparalleled comfort to intermediate players. This racquet will also tempt the advanced ball striker who wants raw speed without having to sacrifice stability. For 2022, ProKennex modernizes the beam with a trapezoidal throat design, resulting in a racquet that feels more stable through impact and transfers greater power to the ball . This racquet's defining feature is Kinetic Technology , which places movable mass around the hoop to deliver superior arm protection. Other technologies include a Comfort Cap , which adds Kinetic technology to the butt cap to attenuate residual vibrations. This Ki 5 also benefits from a Spiral Tech Carbon layup which delivers cleaner ball feedback along with less frame vibration on off-center impact. Ultimately, this impressive update is an obvious choice for any player who wants the advantages of a modern player's racquet minus the discomfort that typically plagues the breed."
372,RCPK-305KI,"This very powerful and spin-friendly racquet is dangerous in the hands of an aggressive baseliner ProKennex updates the Ki 10 with a new cosmetic! Like the previous version, this racquet offers a dangerous combination of spin, precision and power . It also holds up well against higher levels of pace, making it great  against big hitters. Like previous generations of the Ki 10 this racquet benefits from Kinetic Technology which uses movable mass in the head to reduce the amount of shock that reaches your arm. Other arm-saving technologies include a Comfort Cap , which adds Kinetic technology to the butt cap to attenuate residual vibrations. This racquet also comes with a firm Spiral Tech Carbon layup to create fewer impurities and air bubbles. The result, according to ProKennex, is a more stable and powerful feel when striking the ball. With this update to the Ki 10, ProKennex keeps a good thing going . Intermediate and advanced players looking to hit heavy spin-loaded shots that drop hard and explode off the court will love this one."
373,RCPK-300KIB,"With its extended length and forgiving head size, this ultra arm-friendly racquet will supercharge your groundstrokes and serves ProKennex updates the Ki 15 (300g) with a new cosmetic but keeps the impressive playability of the previous generation . As the heaviest Ki 15 model, this racquet is not only appropriate for intermediate players, it should also work for the more advanced doubles player who wants a powerful serving racquet with impressive stability on volleys. Like the previous generation, this update has an extended 27.5"" length, giving it extra pop on serves and groundies. Comfort is impressive thanks to the Kinetic Technology , which deploys dynamic mass in the head to reduce the amount of shock that reaches your arm. Other arm-saving technologies include a Comfort Cap , which adds Kinetic technology to the butt cap to attenuate residual vibrations. Ultimately, t he Ki 15 (300g) remains an obvious choice for those who crave comfort and power."
374,RCPK-260KIB,"As the lightest Ki 15 model, this ultra arm-friendly racquet is perfect for rising beginners and early intermediate players Updated with a beautiful blue cosmetic, the Ki 15 (260g) is a great option for rising beginners and early intermediate players. Like the previous generation, it has a lightweight and forgiving 105 square inch head size, making it perfect for those who are learning the game. It's also a great option for the doubles player who wants a powerful serve and volley weapon. Featuring a 27.5 inch length, the Ki 15 (260g) will give you extra power on groundies, serves and overheads . As with previous generations this racquet gives you the benefit of Kinetic Technology , which deploys dynamic mass in the head to reduce the amount of shock that reaches your tendons and joints. Other arm-saving technologies include a Comfort Cap , which adds Kinetic technology to the butt cap to attenuate residual vibrations. The Ki 15 also comes with a firm Spiral Tech Carbon layup to create fewer impurities and air bubbles. The result, according to ProKennex, is a more stable and powerful response when striking the ball. On groundstrokes the Ki 15 (260g) offers a comfortable and powerful hitting experience. There's also enough spin-potential to bring the ball down hard. At net, the generously sized head provides a very user-friendly hitting experience, with enough power to finish points with a bang. This racquet also shines on serve where the extended length translates into easier net clearance and massive power. Ultimately, the Ki 15 (260g) remains a seductive option for improving players who want an arm-friendly racquet with easy access to power."
375,RCPK-P7G,"A popular choice among 4.0 to 5.5 level players with medium to fast swing speeds, the Pro 7G blends a control-oriented response with some added power and spin from its 27.5 inch length. ProKennex's movable mass Kinetic System Technology is included, providing a solid yet soft feel. Intermediate/advanced players with arm or shoulder problems will love the comfort they'll find with this stick. A quality addition to the ever popular Kinetic line from ProKennex. This racquet does not come with a cover."
376,RCPK-P5G2,The Kinetic Pro 5G Standard maintains the best control/maneuverability ratio in the ProKennex line. A head light balance and standard 27 inch length mix well with the 100 square inch head size. It all adds up to a player's racquet with a little more power than most control categorized frames. Spin is easy to generate. Advanced players noted how easy it was to whip the racquet head through the contact zone for some extra pace and spin. Mix in the solid feel of Kinetic Technology and you have the most popular Kinetic racquet ProKennex has produced. A nice choice for 4.0 to 6.0 level all-court players with fast swing types or hard hitters with joint/elbow problems.
377,RCSOLINCO-BKOCAH,"Solinco adds more power to theBlackout 300 with Arch-2 construction Introducing the second generation of Solinco's Blackout 300! Like the inaugural version, this update pairs the raw speed of a sub-320 swingweight with a powerful beam construction and spin-friendly string pattern. The result is a modern player's racquet that makes it easy to load the ball with pace and spin. For 2025, Solinco adds Arch-2 construction, an innovative layup technology that boosts stability and power. Other features include a Power Flex Zone which puts the max beam height at the 5 and 7 o'clock positions to increase energy return. Under the hood, the Blackout features a 40T Carbon Fiber at 3 and 9 o'clock, resulting in a larger sweet spot along with a more stable feel on off-center impact. The Blackout also comes with Liquid Crystal Technology in the layup to reduce harsh vibration, along with foam in the head, giving it a wonderfully solid and stable at impact. Ultimately, with the Blackout 300 v2 , Solinco has produced an outstanding option for intermediate and advanced players who like controlling the action with pace and spin. This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to the stock weight) - sold separately"
378,RCSOLINCO-BKOCAX,"Updated with Arch-2 construction for 2025. Think power! Introducing the second generation of the Blackout 300 XTD ! Defined by its extended 27.5"" length, this stick not only delivers dangerous levels of power and spin from the baseline but also gives you the tools to hit huge serves. For 2025, Solinco adds Arch-2 construction, an innovative layup technology that boosts stability and power. Other features include a Power Flex Zone, which puts the max beam height at the 5 and 7 o'clock positions to increase energy return. Under the hood, the Blackout features a 40T Carbon Fiber at 3 and 9 o'clock, resulting in a larger sweet spot along with a more stable feel on off-center impact. The Blackout also comes with Liquid Crystal Technology in the layup to reduce harsh vibration, along with foam in the head, giving it a wonderfully solid and stable feel at impact. Recommended to aggressive players looking to turn up the heat. This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to the stock weight) - sold separately"
379,RCSOLINCO-BKOCAL,"This intermediate-friendly weapon is perfect for mastering the mechanics of pace and spin Solinco adds another chapter to the Blackout 285! Like the previous generation, this update puts impressive power and spin into an extremely fast package. Boasting a sub-315 swingweight, the Blackout 285 v2 is defined by its ease of use, making it perfect for mastering the mechanics of pace and spin. For 2025, Solinco adds Arch-2 construction, an innovative layup technology that boosts stability and power. Other features include a Power Flex Zone which puts the max beam height at the 5 and 7 o'clock positions to increase energy return. Under the hood, the Blackout features a 40T Carbon Fiber at 3 and 9 o'clock, resulting in a larger sweet spot along with a more stable feel on off-center impact. The Blackout also comes with Liquid Crystal Technology in the layup to reduce harsh vibration, along with foam in the head, giving it a wonderfully solid and stable at impact. Ultimately, with this update, Solinco keeps a good thing going. Intermediate players looking to play aggressive tennis will love this one.  This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to the stock weight)  - sold separately"
380,RCSOLINCO-BLKO30,"Introducing the Blackout 300 ! Designed with the help of seasoned industry technicians and professional players the Blackout 300 is fast explosive and powerful. It also delivers the kind of spin-friendly targeting that will help you hit sharp angled passing shots or pull the trigger at end of a long rally. With its quick handling and solid feel, the Blackout 300 shines at net where you'll find enough pop to finish points with a bang. Technologies include 40T Carbon Fiber at 3/9 o'clock, resulting in a larger sweetspot along with a more solid and responsive feel on off-center impact. Ball feedback is further enhanced by Solinco's Liquid Crystal Technology which is added to the layup in order to reduce hash vibrations. Ultimately, with the Blackout 300, Solinco has produced a speedy all-court weapon for intermediate and advanced players. Aggressive ball strikers who like controlling the action with pace and spin should give this stick a very serious look. This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to the stock weight)  - sold separately"
381,RCSOLINCO-BLKO28,"Introducing the Blackout 285 ! Like the heavier Blackout 300, this racquet is defined by its combination of power, spin and accuracy. At under 11 ounces strung, it swings easier than the Blackout 300, making it great for the rising intermediate player who is looking to play aggressive tennis. Thanks to a near even balance, the 285 not only offers above average stability and comfort for its weight class, it also rewards full swings with enough pop to close out points. Technologies include 40T Carbon Fiber at 3/9 o'clock, resulting in a larger sweetspot along with a more stable feel through impact. In addition to a thick and powerful tapered beam, Solinco adds Liquid Crystal Technology to the layup in order to reduce hash vibrations and lighten the load on your tendons. Ultimately, with the Blackout 285, Solinco has given intermediate players a very user-friendly tool for loading the ball with pace and spin. This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to stock weight) - sold separately"
382,RCSOLINCO-BLKOXT,This extended length version of the Blackout 300 hits a heavy ball
383,RCSOLINCO-SBLK28,"For those who can wield it, this 28"" racquet offers massive power on groundies and servers"
384,RCSOLINCO-SBDWO5,"This very special edition of the Whiteout 305 v2 features an awesome cosmetic! Introducing the Solinco Brain Dead Whiteout 305 v2 ! This racquet features the same specs and playability as the standard version, but it comes with an awesome cosmetic by Brain Dead. Specs include a 98-square-inch head and 21.7mm box beam, giving this stick impressive control from all areas of the court . With its near 330 swingweight, the Brain Dead Whiteout 305 v2 provides decent stability against big hitters but remains fast enough for aggressive all-court play. There's also enough mass-based pop to keep your opponent in check. Technologies include Arch-2 construction , an innovative layup that boosts stability, comfort, and power. Other notable features include 40T Carbon Fiber at 3 and 9 o'clock, resulting in less frame wobble on off-center impact. The layup and material matrix are further enhanced with Liquid Crystal Technology, along with the strategic placement of foam, both features serving to create an undeniably plush and solid feel. I ntermediate and advanced players looking for controllable power and great feel will not be disappointed. The irreverent cosmetic by Brain Dead will definitely turn some heads."
385,RCSOLINCO-WTOCAH,"Updated with a more stable and powerful layup, the Whiteout 305 combines controllable power with a plush feel at impact Solinco updates the Whiteout 305 v2 with a more stable and powerful construction while keeping the target specs and impressive playability of the previous version. With its 98-square-inch head and 21.7mm box beam, this racquet delivers impressive control from all areas of the court . Boasting a 328 swingweight, the Whiteout 305 provides decent stability against big hitters, but remains fast enough for aggressive all-court play. There's also enough mass-based pop for keeping your opponent in check. For 2025, Solinco adds Arch-2 construction , an innovative layup technology that boosts stability, comfort, and power. Other notable features include 40T Carbon Fiber at 3 and 9 o'clock, resulting in less frame wobble on off-center impact. The layup and material matrix are further enhanced with Liquid Crystal Technology, along with the strategic placement of foam both features serving to create an undeniably plush and solid feel. Given the success of the original version, this is more of an incremental update than a complete overhaul. I ntermediate and advanced players looking for controllable power and great feel will not be disappointed."
386,RCSOLINCO-SWO28,"Updated with Arch-2 construction for a more powerful response Introducing the Whiteout 305 18x20 v2 ! As with the first generation launched in 2022, this 2025 update combines a 98 square inch head and 21.7mm straight beam with a dense 18x20 string pattern. Compared to the open pattern of the standard Whiteout 305 v2, this racquet packs a more predictable, laser-like trajectory, making it great for those who like driving the ball through the court . It also features a 325+ swingweight, giving it decent stability without feeling sluggish when quicker reactions are needed. For this update, Solinco adds Arch-2 construction, an innovative layup technology that boosts stability, comfort, and power. Other notable features include 40T Carbon Fiber at 3 and 9 o'clock, resulting in less frame wobble on off-center impact. The layup and material matrix are further enhanced with Liquid Crystal Technology, along with the strategic placement of foam—both features serving to create an undeniably plush and solid feel. With some incremental tweaks to the feel and response, this update to the Whiteout 305 18x20 continues to be an obvious choice for intermediate and advanced players who want outstanding control combined with a comfortably crisp feel at impact .   This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to the stock weight) - sold separately"
387,RCSOLINCO-WTOCAX,"Updated with a more powerful layup for 2025 Solinco adds another chapter to the Whiteout 305 XTD ! A study in contrasts, this unique racquet combines the control of a 98 square inch head and box beam with the extra leverage and power of an extended length racquet. The upshot is a dangerous combination of power and precision. Compared to the previous generation, this model has a lower swingweight, giving it a welcome boost in speed. For 2025, Solinco adds Arch-2 construction, an innovative layup technology that boosts stability and power. Other features include 40T Carbon Fiber at 3/9 o'clock, resulting in a larger sweetspot along with a more stable feel on off-center impact. In addition to its 21.7mm flat beam, Solinco adds Liquid Crystal Technology to the layup in order to reduce harsh vibrations and lighten the load on your tendons. T he Whiteout 305 XTD also benefits from foam technology in the head, giving it an unmistakably solid feel at impact. With subtle updates to the feel and response, the Whiteout 305 XTD remains a great option for experienced players who crave a precise and powerful weapon."
388,RCSOLINCO-SWO2X8,"Updated with Arch 2 construction for 2025 Introducing the Whiteout 305 18x20 XTD v2 ! Like the original version, this racquet combines the surgical control of an 18x20 string pattern with the powerful momentum of an extended-length racquet. The result is a dangerous combination of power and precision. It also boasts a swingweight in the low 330s, giving it plenty of stability and plow-through while still being quick enough for all-court play. For 2025, Solinco adds Arch-2 construction, an innovative layup technology that boosts stability, comfort, and power. Other notable features include 40T Carbon Fiber at 3 and 9 o'clock, resulting in less frame wobble on off-center impact. The layup and material matrix are further enhanced with Liquid Crystal Technology, along with the strategic placement of foam both features serving to create an undeniably plush and solid feel. With subtle updates to the feel and response for 2025, the Whiteout 305 18x20 XTD v2 continues to be an obvious option for experienced players who want power and precision."
389,RCSOLINCO-WTOCAL,"Updated with a more powerful response for 2025 Introducing the second generation of the Whiteout 290 ! Like the original version, this racquet combines a classic 21.7mm box beam with a surgical 98-square-inch head and a spin-friendly 16x19 string pattern. It also packs a very speedy sub-320 swingweight, giving it easy acceleration on groundstrokes and quick handling at net. At 10.7 ounces strung and boasting a sub-315 swingweight, this stick is perfect for the intermediate player who wants a maneuverable racquet with controllable power. For 2025, Solinco adds Arch-2 construction, an innovative layup technology that boosts stability and power. Other features include 40T Carbon Fiber at 3 and 9 o'clock, resulting in a larger sweet spot along with a more stable feel on off-center impact. In addition to the 21.7mm flat beam, Solinco adds Liquid Crystal Technology to the layup to reduce harsh vibrations and lighten the load on your tendons. Ultimately, the Whiteout 290 is a great option for rising intermediate players who want a speedy racquet that can hit every shot in the book. This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to stock weight) - sold separately"
390,RCSOLINCO-WHTO30,"Experienced players looking for controllable power and great feel should add this to their list Offering an impressive combination of control and feel, Solinco’s Whiteout 305 will definitely turn some heads. With its traditional 21.7mm straight beam and 98 square inch head this stick delivers the raw precision and excellent ball feedback that experienced ball strikers crave . It also comes with a near 330 swingweight, lending it enough mass to effectively redirect pace but also keeping it fast enough for quick exchanges at net . Technologies include 40T Carbon Fiber at 3/9 o'clock, resulting in a larger sweetspot and greater torsional stability. The feel is further enhanced by Liquid Crystal Technology which is added to the layup to reduce hash vibrations and lighten the load on your tendons. The Whiteout 305 also benefits from Foam Technology in the head, giving it a wonderfully solid feel through impact. Ultimately, the Whiteout 305 should help put Solinco on the radar of experienced players. The fact that it checks every box in its category while also being priced below the competition makes it hard to resist.   This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to the stock weight)  - sold separately"
391,RCSOLINCO-WHO18X,"Outstanding control. Great feel. Easy customization Introducing the Whiteout 305 18x20 ! With this racquet, Solinco gives experienced players an extremely precise weapon. In addition to its 98 square inch head and 21.7mm straight beam this stick packs an 18x20 string pattern, giving it an extremely predictable, laser-like trajectory. The upshot is a racquet that lets you pull the trigger and target the lines without having to worry about over hitting. Technologies include 40T Carbon Fiber at 3/9 o'clock, resulting in a larger sweetspot and greater torsional stability. The feel is further enhanced by Liquid Crystal Technology which is added to the layup in order to reduce hash vibrations and lighten the load on your tendons. The Whiteout 305 18x20 also benefits from Foam Technology in the head, giving it a wonderfully solid feel through impact. Ultimately, with its impressive combination of control and feel, the Whiteout 305 18x20 is a great option for intermediate and advanced players looking for surgical targeting and great feel.   This racquet's weight and balance can be modified using Solinco's weight control modules (interchangeable butt-cap plates that enable you to add 5 or 10 grams to the stock weight)  - sold separately"
